id,Breed1,Breed2,Breed3
sample_407,1,0,0
sample_408,0,0,1
sample_409,0,0,1
sample_410,1,0,0
sample_411,1,0,0
sample_412,1,0,0
sample_413,0,0,1
sample_414,0,0,1
sample_415,0,1,0
sample_416,0,0,1
sample_417,0,1,0
sample_418,0,1,0
sample_419,0,1,0
sample_420,1,0,0
sample_421,0,0,1
sample_422,0,0,1
sample_423,0,0,1
sample_424,0,0,1
sample_425,0,0,1
sample_426,1,0,0
sample_427,0,0,1
sample_428,1,0,0
sample_429,1,0,0
sample_430,0,1,0
sample_431,0,1,0
sample_432,1,0,0
sample_433,0,1,0
sample_434,1,0,0
sample_435,0,0,1
sample_436,1,0,0
sample_437,1,0,0
sample_438,0,0,1
sample_439,1,0,0
sample_440,0,1,0
sample_441,1,0,0
sample_442,1,0,0
sample_443,0,1,0
sample_444,0,0,1
sample_445,1,0,0
sample_446,0,1,0
sample_447,0,0,1
sample_448,0,0,1
sample_449,0,1,0
sample_450,1,0,0
sample_451,0,1,0
sample_452,0,1,0
sample_453,0,1,0
sample_454,0,1,0
sample_455,1,0,0
sample_456,1,0,0
sample_457,0,0,1
sample_458,1,0,0
sample_459,0,0,1
sample_460,1,0,0
sample_461,1,0,0
sample_462,0,0,1
sample_463,0,1,0
sample_464,1,0,0
sample_465,1,0,0
sample_466,0,1,0
sample_467,0,1,0
sample_468,0,0,1
sample_469,0,0,1
sample_470,1,0,0
sample_471,0,1,0
sample_472,0,1,0
sample_473,0,0,1
sample_474,0,0,1
sample_475,1,0,0
sample_476,1,0,0
sample_477,0,0,1
sample_478,0,1,0
sample_479,0,1,0
sample_480,0,0,1
sample_481,1,0,0
sample_482,0,1,0
sample_483,0,0,1
sample_484,0,0,1
sample_485,0,1,0
sample_486,0,1,0
sample_487,1,0,0
sample_488,1,0,0
sample_489,0,0,1
sample_490,0,1,0
sample_491,0,1,0
sample_492,0,0,1
sample_493,0,0,1
sample_494,1,0,0
sample_495,0,0,1
sample_496,0,0,1
sample_497,0,0,1
sample_498,0,0,1
sample_499,1,0,0
sample_500,0,1,0
sample_501,1,0,0
sample_502,0,0,1
sample_503,1,0,0
sample_504,1,0,0
sample_505,1,0,0
sample_506,1,0,0
sample_507,0,1,0
sample_508,1,0,0
sample_509,1,0,0
sample_510,1,0,0
sample_511,0,0,1
sample_512,0,0,1
sample_513,0,1,0
sample_514,0,1,0
sample_515,1,0,0
sample_516,0,1,0
sample_517,0,0,1
sample_518,0,0,1
sample_519,0,1,0
sample_520,1,0,0
sample_521,0,0,1
sample_522,0,0,1
sample_523,0,1,0
sample_524,0,0,1
sample_525,0,1,0
sample_526,0,0,1
sample_527,0,1,0
sample_528,1,0,0
sample_529,1,0,0
sample_530,1,0,0
sample_531,0,1,0
sample_532,0,1,0
sample_533,0,1,0
sample_534,1,0,0
sample_535,0,1,0
sample_536,0,1,0
sample_537,0,0,1
sample_538,0,0,1
sample_539,0,0,1
sample_540,1,0,0
sample_541,0,0,1
sample_542,1,0,0
sample_543,1,0,0
sample_544,0,1,0
sample_545,0,1,0
sample_546,1,0,0
sample_547,1,0,0
sample_548,0,1,0
sample_549,0,0,1
sample_550,1,0,0
sample_551,1,0,0
sample_552,0,0,1
sample_553,1,0,0
sample_554,0,1,0
sample_555,0,1,0
sample_556,0,0,1
sample_557,0,1,0
sample_558,0,1,0
sample_559,0,1,0
sample_560,1,0,0
sample_561,1,0,0
sample_562,0,1,0
sample_563,0,1,0
sample_564,0,0,1
sample_565,1,0,0
sample_566,0,0,1
sample_567,0,1,0
sample_568,1,0,0
sample_569,0,0,1
sample_570,0,1,0
sample_571,1,0,0
sample_572,1,0,0
sample_573,0,1,0
sample_574,1,0,0
sample_575,0,0,1
sample_576,1,0,0
sample_577,1,0,0
sample_578,0,0,1
sample_579,1,0,0
sample_580,0,1,0
sample_581,1,0,0
sample_582,0,1,0
sample_583,1,0,0
sample_584,0,1,0
sample_585,0,1,0
sample_586,1,0,0
sample_587,1,0,0
sample_588,0,0,1
sample_589,1,0,0
sample_590,1,0,0
sample_591,0,0,1
sample_592,0,1,0
sample_593,1,0,0
sample_594,1,0,0
sample_595,0,1,0
sample_596,0,1,0
sample_597,1,0,0
sample_598,1,0,0
sample_599,0,1,0
sample_600,1,0,0
sample_601,0,1,0
sample_602,0,0,1
sample_603,1,0,0
sample_604,0,1,0
sample_605,0,1,0
sample_606,0,0,1
sample_607,1,0,0
sample_608,0,1,0
sample_609,1,0,0
sample_610,0,0,1
sample_611,1,0,0
sample_612,1,0,0
sample_613,0,0,1
sample_614,0,0,1
sample_615,0,1,0
sample_616,0,1,0
sample_617,1,0,0
sample_618,0,1,0
sample_619,1,0,0
sample_620,1,0,0
sample_621,0,0,1
sample_622,0,0,1
sample_623,1,0,0
sample_624,0,1,0
sample_625,0,1,0
sample_626,0,1,0
sample_627,0,1,0
sample_628,1,0,0
sample_629,0,1,0
sample_630,1,0,0
sample_631,1,0,0
sample_632,1,0,0
sample_633,0,1,0
sample_634,0,1,0
sample_635,0,1,0
sample_636,0,1,0
sample_637,1,0,0
sample_638,0,1,0
sample_639,0,1,0
sample_640,0,1,0
sample_641,1,0,0
sample_642,1,0,0
sample_643,1,0,0
sample_644,0,0,1
sample_645,1,0,0
sample_646,0,0,1
sample_647,0,0,1
sample_648,0,1,0
sample_649,0,1,0
sample_650,1,0,0
sample_651,0,1,0
sample_652,1,0,0
sample_653,0,1,0
sample_654,1,0,0
sample_655,0,0,1
sample_656,0,0,1
sample_657,1,0,0
sample_658,0,0,1
sample_659,1,0,0
sample_660,0,1,0
sample_661,0,1,0
sample_662,0,1,0
sample_663,1,0,0
sample_664,1,0,0
sample_665,0,1,0
sample_666,0,0,1
sample_667,0,1,0
sample_668,1,0,0
sample_669,0,1,0
sample_670,0,0,1
sample_671,0,1,0
sample_672,0,0,1
sample_673,0,1,0
sample_674,0,0,1
sample_675,1,0,0
sample_676,0,1,0
sample_677,0,1,0
sample_678,1,0,0
sample_679,1,0,0
sample_680,0,1,0
sample_681,0,1,0
sample_682,0,1,0
sample_683,1,0,0
sample_684,0,1,0
sample_685,0,1,0
sample_686,0,0,1
sample_687,0,1,0
sample_688,1,0,0
sample_689,0,1,0
sample_690,0,0,1
sample_691,0,1,0
sample_692,0,0,1
sample_693,0,1,0
sample_694,1,0,0
sample_695,1,0,0
sample_696,0,1,0
sample_697,0,0,1
sample_698,0,1,0
sample_699,1,0,0
sample_700,1,0,0
sample_701,0,0,1
sample_702,0,0,1
sample_703,1,0,0
sample_704,0,0,1
sample_705,0,0,1
sample_706,0,1,0
sample_707,0,0,1
sample_708,1,0,0
sample_709,1,0,0
sample_710,1,0,0
sample_711,0,1,0
sample_712,1,0,0
sample_713,0,1,0
sample_714,1,0,0
sample_715,1,0,0
sample_716,1,0,0
sample_717,0,0,1
sample_718,0,1,0
sample_719,1,0,0
sample_720,0,0,1
sample_721,1,0,0
sample_722,0,1,0
sample_723,0,0,1
sample_724,1,0,0
sample_725,0,1,0
sample_726,0,1,0
sample_727,0,0,1
sample_728,1,0,0
sample_729,1,0,0
sample_730,1,0,0
sample_731,0,1,0
sample_732,0,0,1
sample_733,0,1,0
sample_734,0,1,0
sample_735,0,0,1
sample_736,0,0,1
sample_737,1,0,0
sample_738,1,0,0
sample_739,0,0,1
sample_740,0,1,0
sample_741,0,1,0
sample_742,0,0,1
sample_743,1,0,0
sample_744,1,0,0
sample_745,1,0,0
sample_746,1,0,0
sample_747,1,0,0
sample_748,1,0,0
sample_749,1,0,0
sample_750,0,0,1
sample_751,1,0,0
sample_752,0,0,1
sample_753,1,0,0
sample_754,0,1,0
sample_755,0,1,0
sample_756,0,0,1
sample_757,1,0,0
sample_758,0,0,1
sample_759,0,1,0
sample_760,0,1,0
sample_761,0,0,1
sample_762,0,0,1
sample_763,0,1,0
sample_764,0,1,0
sample_765,0,0,1
sample_766,1,0,0
sample_767,1,0,0
sample_768,1,0,0
sample_769,0,1,0
sample_770,0,0,1
sample_771,0,0,1
sample_772,0,1,0
sample_773,1,0,0
sample_774,0,1,0
sample_775,1,0,0
sample_776,1,0,0
sample_777,0,0,1
sample_778,1,0,0
sample_779,1,0,0
sample_780,0,0,1
sample_781,0,0,1
sample_782,0,0,1
sample_783,1,0,0
sample_784,0,0,1
sample_785,0,1,0
sample_786,1,0,0
sample_787,0,1,0
sample_788,1,0,0
sample_789,0,1,0
sample_790,0,0,1
sample_791,0,0,1
sample_792,1,0,0
sample_793,0,0,1
sample_794,0,1,0
sample_795,0,0,1
sample_796,0,0,1
sample_797,0,1,0
sample_798,0,1,0
sample_799,1,0,0
sample_800,0,1,0
sample_801,1,0,0
sample_802,1,0,0
sample_803,1,0,0
sample_804,1,0,0
sample_805,0,1,0
sample_806,0,0,1
sample_807,0,1,0
sample_808,1,0,0
sample_809,0,0,1
sample_810,0,1,0
sample_811,0,1,0
sample_812,0,0,1
sample_813,0,1,0
sample_814,0,0,1
sample_815,0,0,1
sample_816,1,0,0
sample_817,0,1,0
sample_818,0,0,1
sample_819,1,0,0
sample_820,0,1,0
sample_821,0,1,0
sample_822,1,0,0
sample_823,0,1,0
sample_824,0,0,1
sample_825,0,1,0
sample_826,0,0,1
sample_827,1,0,0
sample_828,0,0,1
sample_829,0,1,0
sample_830,1,0,0
sample_831,0,1,0
sample_832,0,1,0
sample_833,0,0,1
sample_834,1,0,0
sample_835,0,0,1
sample_836,0,0,1
sample_837,0,0,1
sample_838,0,0,1
sample_839,0,1,0
sample_840,1,0,0
sample_841,0,1,0
sample_842,1,0,0
sample_843,1,0,0
sample_844,0,0,1
sample_845,0,0,1
sample_846,0,1,0
sample_847,1,0,0
sample_848,1,0,0
sample_849,0,0,1
sample_850,0,0,1
sample_851,1,0,0
sample_852,0,1,0
sample_853,0,0,1
sample_854,0,1,0
sample_855,0,1,0
sample_856,0,1,0
sample_857,0,1,0
sample_858,0,0,1
sample_859,1,0,0
sample_860,1,0,0
sample_861,0,1,0
sample_862,0,0,1
sample_863,0,0,1
sample_864,0,1,0
sample_865,1,0,0
sample_866,1,0,0
sample_867,1,0,0
sample_868,0,0,1
sample_869,0,1,0
sample_870,0,1,0
sample_871,0,0,1
sample_872,0,1,0
sample_873,1,0,0
sample_874,1,0,0
sample_875,1,0,0
sample_876,1,0,0
sample_877,1,0,0
sample_878,1,0,0
sample_879,0,1,0
sample_880,1,0,0
sample_881,0,1,0
sample_882,0,0,1
sample_883,0,1,0
sample_884,0,0,1
sample_885,0,1,0
sample_886,1,0,0
sample_887,0,0,1
sample_888,1,0,0
sample_889,1,0,0
sample_890,0,1,0
sample_891,1,0,0
sample_892,0,1,0
sample_893,1,0,0
sample_894,0,1,0
sample_895,0,1,0
sample_896,0,1,0
sample_897,1,0,0
sample_898,0,1,0
sample_899,0,1,0
sample_900,0,1,0
sample_901,1,0,0
sample_902,0,0,1
sample_903,0,0,1
sample_904,0,0,1
sample_905,0,0,1
sample_906,1,0,0
sample_907,1,0,0
sample_908,0,0,1
sample_909,0,1,0
sample_910,0,1,0
sample_911,0,0,1
sample_912,1,0,0
sample_913,1,0,0
sample_914,0,0,1
sample_915,0,1,0
sample_916,0,0,1
sample_917,0,1,0
sample_918,0,1,0
sample_919,0,1,0
sample_920,0,1,0
sample_921,0,1,0
sample_922,1,0,0
sample_923,0,1,0
sample_924,1,0,0
sample_925,0,0,1
sample_926,0,0,1
sample_927,0,1,0
sample_928,0,1,0
sample_929,1,0,0
sample_930,1,0,0
sample_931,0,0,1
sample_932,1,0,0
sample_933,1,0,0
sample_934,0,1,0
sample_935,1,0,0
sample_936,1,0,0
sample_937,1,0,0
sample_938,0,0,1
sample_939,0,1,0
sample_940,1,0,0
sample_941,1,0,0
sample_942,0,0,1
sample_943,1,0,0
sample_944,0,1,0
sample_945,1,0,0
sample_946,0,1,0
sample_947,0,0,1
sample_948,0,1,0
sample_949,0,0,1
sample_950,0,1,0
sample_951,0,1,0
sample_952,1,0,0
sample_953,0,0,1
sample_954,1,0,0
sample_955,1,0,0
sample_956,0,0,1
sample_957,1,0,0
sample_958,1,0,0
sample_959,0,0,1
sample_960,1,0,0
sample_961,1,0,0
sample_962,0,1,0
sample_963,0,0,1
sample_964,0,0,1
sample_965,1,0,0
sample_966,1,0,0
sample_967,1,0,0
sample_968,0,1,0
sample_969,0,1,0
sample_970,0,1,0
sample_971,0,1,0
sample_972,0,0,1
sample_973,1,0,0
sample_974,1,0,0
sample_975,0,1,0
sample_976,1,0,0
sample_977,0,0,1
sample_978,0,0,1
sample_979,1,0,0
sample_980,0,1,0
sample_981,0,1,0
sample_982,0,0,1
sample_983,0,1,0
sample_984,1,0,0
sample_985,0,1,0
sample_986,0,0,1
sample_987,0,0,1
sample_988,1,0,0
sample_989,1,0,0
sample_990,0,0,1
sample_991,0,1,0
sample_992,0,0,1
sample_993,1,0,0
sample_994,0,0,1
sample_995,1,0,0
sample_996,0,0,1
sample_997,0,1,0
sample_998,0,0,1
sample_999,1,0,0
sample_1000,1,0,0
sample_1001,1,0,0
sample_1002,1,0,0
sample_1003,1,0,0
sample_1004,0,1,0
sample_1005,1,0,0
sample_1006,0,0,1
sample_1007,0,1,0
sample_1008,1,0,0
sample_1009,0,0,1
sample_1010,0,0,1
sample_1011,0,0,1
sample_1012,0,1,0
sample_1013,0,1,0
sample_1014,0,1,0
sample_1015,1,0,0
sample_1016,1,0,0
sample_1017,0,0,1
sample_1018,0,1,0
sample_1019,0,1,0
sample_1020,0,1,0
sample_1021,1,0,0
sample_1022,1,0,0
sample_1023,1,0,0
sample_1024,1,0,0
sample_1025,0,1,0
sample_1026,0,1,0
sample_1027,0,0,1
sample_1028,0,0,1
sample_1029,0,0,1
sample_1030,1,0,0
sample_1031,1,0,0
sample_1032,0,1,0
sample_1033,1,0,0
sample_1034,0,0,1
sample_1035,0,1,0
sample_1036,0,1,0
sample_1037,1,0,0
sample_1038,0,1,0
sample_1039,0,1,0
sample_1040,1,0,0
sample_1041,1,0,0
sample_1042,0,0,1
sample_1043,0,0,1
sample_1044,0,0,1
sample_1045,1,0,0
sample_1046,0,1,0
sample_1047,1,0,0
sample_1048,0,1,0
sample_1049,0,1,0
sample_1050,0,0,1
sample_1051,0,1,0
sample_1052,1,0,0
sample_1053,1,0,0
sample_1054,1,0,0
sample_1055,0,0,1
sample_1056,1,0,0
sample_1057,1,0,0
sample_1058,0,1,0
sample_1059,0,0,1
sample_1060,1,0,0
sample_1061,1,0,0
sample_1062,1,0,0
sample_1063,1,0,0
sample_1064,1,0,0
sample_1065,0,0,1
sample_1066,1,0,0
sample_1067,1,0,0
sample_1068,0,0,1
sample_1069,0,1,0
sample_1070,0,0,1
sample_1071,0,1,0
sample_1072,1,0,0
sample_1073,1,0,0
sample_1074,1,0,0
sample_1075,1,0,0
sample_1076,0,0,1
sample_1077,1,0,0
sample_1078,1,0,0
sample_1079,0,0,1
sample_1080,1,0,0
sample_1081,1,0,0
sample_1082,1,0,0
sample_1083,0,1,0
sample_1084,0,1,0
sample_1085,1,0,0
sample_1086,1,0,0
sample_1087,0,1,0
sample_1088,1,0,0
sample_1089,0,1,0
sample_1090,0,0,1
sample_1091,0,1,0
sample_1092,0,1,0
sample_1093,0,0,1
sample_1094,0,1,0
sample_1095,1,0,0
sample_1096,0,0,1
sample_1097,1,0,0
sample_1098,0,1,0
sample_1099,1,0,0
sample_1100,0,0,1
sample_1101,0,0,1
sample_1102,1,0,0
sample_1103,0,0,1
sample_1104,1,0,0
sample_1105,0,1,0
sample_1106,0,0,1
sample_1107,1,0,0
sample_1108,0,0,1
sample_1109,0,1,0
sample_1110,1,0,0
sample_1111,0,0,1
sample_1112,0,1,0
sample_1113,1,0,0
sample_1114,0,1,0
sample_1115,0,1,0
sample_1116,0,0,1
sample_1117,1,0,0
sample_1118,0,1,0
sample_1119,0,0,1
sample_1120,1,0,0
sample_1121,1,0,0
sample_1122,0,1,0
sample_1123,0,1,0
sample_1124,0,1,0
sample_1125,0,0,1
sample_1126,0,0,1
sample_1127,0,0,1
sample_1128,0,0,1
sample_1129,1,0,0
sample_1130,0,1,0
sample_1131,1,0,0
sample_1132,0,1,0
sample_1133,0,1,0
sample_1134,1,0,0
sample_1135,0,1,0
sample_1136,0,0,1
sample_1137,0,0,1
sample_1138,1,0,0
sample_1139,0,1,0
sample_1140,1,0,0
sample_1141,0,0,1
sample_1142,1,0,0
sample_1143,0,1,0
sample_1144,0,1,0
sample_1145,1,0,0
sample_1146,0,1,0
sample_1147,0,1,0
sample_1148,1,0,0
sample_1149,0,1,0
sample_1150,0,0,1
sample_1151,0,1,0
sample_1152,1,0,0
sample_1153,0,0,1
sample_1154,1,0,0
sample_1155,0,1,0
sample_1156,0,0,1
sample_1157,0,0,1
sample_1158,1,0,0
sample_1159,0,1,0
sample_1160,0,1,0
sample_1161,1,0,0
sample_1162,1,0,0
sample_1163,0,0,1
sample_1164,0,1,0
sample_1165,1,0,0
sample_1166,0,0,1
sample_1167,0,1,0
sample_1168,0,1,0
sample_1169,1,0,0
sample_1170,0,0,1
sample_1171,0,1,0
sample_1172,1,0,0
sample_1173,1,0,0
sample_1174,1,0,0
sample_1175,0,1,0
sample_1176,0,0,1
sample_1177,0,0,1
sample_1178,1,0,0
sample_1179,1,0,0
sample_1180,0,1,0
sample_1181,0,1,0
sample_1182,1,0,0
sample_1183,1,0,0
sample_1184,0,1,0
sample_1185,0,1,0
sample_1186,0,1,0
sample_1187,1,0,0
sample_1188,1,0,0
sample_1189,0,1,0
sample_1190,0,1,0
sample_1191,0,0,1
sample_1192,0,0,1
sample_1193,0,1,0
sample_1194,1,0,0
sample_1195,0,0,1
sample_1196,0,1,0
sample_1197,1,0,0
sample_1198,0,1,0
sample_1199,1,0,0
sample_1200,0,1,0
sample_1201,0,0,1
sample_1202,1,0,0
sample_1203,0,1,0
sample_1204,0,0,1
sample_1205,0,1,0
sample_1206,1,0,0
sample_1207,0,1,0
sample_1208,1,0,0
sample_1209,1,0,0
sample_1210,1,0,0
sample_1211,0,1,0
sample_1212,1,0,0
sample_1213,0,1,0
sample_1214,0,1,0
sample_1215,0,1,0
sample_1216,1,0,0
sample_1217,0,1,0
sample_1218,0,1,0
sample_1219,1,0,0
sample_1220,1,0,0
sample_1221,0,1,0
sample_1222,0,1,0
sample_1223,1,0,0
sample_1224,0,0,1
sample_1225,0,0,1
sample_1226,1,0,0
sample_1227,0,1,0
sample_1228,0,1,0
sample_1229,1,0,0
sample_1230,1,0,0
sample_1231,0,1,0
sample_1232,0,1,0
sample_1233,1,0,0
sample_1234,0,0,1
sample_1235,1,0,0
sample_1236,1,0,0
sample_1237,0,0,1
sample_1238,0,1,0
sample_1239,0,1,0
sample_1240,0,1,0
sample_1241,0,1,0
sample_1242,1,0,0
sample_1243,0,1,0
sample_1244,1,0,0
sample_1245,0,0,1
sample_1246,1,0,0
sample_1247,0,1,0
