locus_1,locus_2,locus_3,locus_4,locus_5,locus_6,locus_7,locus_8,locus_9,locus_10,locus_11,locus_12,locus_13,locus_14,locus_15,id
119,236,109,364,426,104,210,172,106,82,121,236,209,268,124,sample_49
119,239,105,362,422,104,215,159,97,84,123,236,201,264,124,sample_50
125,245,105,364,424,107,210,164,106,82,127,242,209,262,122,sample_51
119,233,113,364,422,110,215,172,106,86,129,236,205,270,124,sample_52
125,233,109,372,422,104,215,168,106,80,125,239,205,264,124,sample_53
119,236,105,364,428,107,210,164,112,86,125,236,201,264,124,sample_54
119,242,105,366,426,107,210,172,106,82,119,233,205,264,124,sample_55
119,236,113,362,428,107,210,172,106,84,121,236,205,262,124,sample_56
121,233,113,366,426,104,215,172,106,84,123,242,205,266,124,sample_57
129,239,113,370,426,101,215,168,97,78,127,239,209,262,122,sample_58
121,242,105,362,426,98,210,159,106,86,125,236,205,262,124,sample_59
127,245,105,368,428,101,210,164,112,82,127,242,213,272,122,sample_60
123,236,105,362,428,107,210,164,103,82,125,236,213,261,122,sample_61
125,239,109,372,428,101,215,172,97,78,129,239,209,264,124,sample_62
129,239,113,370,424,98,215,168,103,80,125,239,209,264,122,sample_63
121,233,113,366,428,110,210,164,112,82,119,236,209,264,124,sample_64
125,239,105,372,428,104,215,168,97,78,129,239,213,262,124,sample_65
125,239,105,372,428,101,215,172,100,82,127,245,205,261,122,sample_66
123,239,113,364,428,104,210,164,97,84,121,242,205,262,124,sample_67
125,236,105,368,428,98,210,172,109,86,125,236,205,264,124,sample_68
127,239,109,368,424,104,215,168,100,80,125,239,209,261,122,sample_69
121,239,113,370,422,98,210,172,106,82,125,239,205,268,124,sample_70
123,239,109,370,428,101,215,164,100,78,129,239,205,264,124,sample_71
119,236,113,362,428,104,210,172,106,86,123,239,201,264,124,sample_72
125,236,105,364,426,110,215,168,109,82,125,233,205,264,122,sample_73
121,233,105,362,422,104,210,172,109,86,125,236,205,264,122,sample_74
125,239,113,368,426,98,215,172,100,80,127,239,209,261,124,sample_75
129,245,101,364,426,104,215,164,109,82,125,245,213,270,122,sample_76
129,239,105,372,422,101,215,168,106,78,127,239,209,261,124,sample_77
129,245,105,362,428,104,210,164,109,80,125,245,213,270,122,sample_78
129,236,105,364,424,104,210,172,112,86,119,236,205,262,124,sample_79
123,233,105,370,422,107,215,172,106,78,125,239,213,261,124,sample_80
129,245,109,364,428,104,210,164,109,82,125,245,209,272,122,sample_81
129,239,105,370,428,101,215,164,97,82,125,239,209,261,124,sample_82
129,239,105,372,424,101,215,168,106,78,127,239,205,262,124,sample_83
125,239,105,370,428,104,210,164,109,82,127,233,213,272,122,sample_84
123,239,105,364,424,107,210,172,106,86,125,233,205,262,122,sample_85
127,233,101,366,428,110,215,164,103,82,127,242,213,272,124,sample_86
125,233,105,364,426,98,215,172,112,86,125,242,209,264,124,sample_87
129,239,109,372,424,101,215,164,103,78,127,236,213,262,124,sample_88
123,239,109,370,426,101,215,164,100,78,127,239,209,264,122,sample_89
127,236,113,370,426,107,215,168,103,80,127,239,205,262,124,sample_90
119,239,109,364,422,104,210,168,100,86,123,239,205,264,124,sample_91
129,239,105,372,424,101,215,168,97,80,125,239,205,261,124,sample_92
125,236,105,361,426,110,210,172,106,84,119,239,209,262,124,sample_93
129,242,105,370,428,101,210,164,109,82,125,239,213,272,122,sample_94
125,239,109,372,428,98,215,164,100,78,123,239,213,261,124,sample_95
121,239,105,364,426,104,210,172,106,84,123,239,205,261,124,sample_96
125,239,105,372,422,104,215,168,100,80,125,239,205,261,124,sample_97
123,239,105,361,426,101,210,172,106,86,121,239,205,264,122,sample_98
125,239,109,372,426,101,215,172,100,78,123,239,209,262,122,sample_99
123,239,109,372,428,98,210,168,106,78,125,239,209,262,124,sample_100
119,236,105,361,428,107,210,172,109,86,121,236,205,262,124,sample_101
121,236,105,362,426,107,210,172,100,86,121,233,205,262,124,sample_102
119,239,105,364,422,98,210,172,103,80,125,236,205,268,124,sample_103
125,239,109,372,426,104,210,164,100,78,129,239,205,261,124,sample_104
127,242,105,366,426,104,210,168,97,86,121,233,209,262,124,sample_105
125,233,109,372,428,101,210,164,97,78,125,239,209,264,122,sample_106
127,239,109,372,422,101,215,172,103,78,127,239,205,261,124,sample_107
125,242,101,364,426,104,215,164,109,82,129,242,209,266,122,sample_108
119,233,105,364,428,104,210,172,103,84,127,233,209,264,124,sample_109
127,239,105,370,422,98,215,172,100,78,123,233,213,261,124,sample_110
129,236,101,366,428,104,215,172,100,86,125,233,205,270,124,sample_111
121,239,113,366,424,107,210,172,109,86,121,239,205,261,124,sample_112
125,245,105,364,426,107,215,164,112,84,127,236,213,266,122,sample_113
121,236,101,364,428,101,210,164,109,84,121,233,205,266,124,sample_114
129,242,105,370,426,104,215,176,106,80,129,239,209,264,124,sample_115
125,239,113,372,428,104,210,172,103,80,125,233,205,262,124,sample_116
127,239,105,361,426,107,210,164,112,84,121,236,209,264,124,sample_117
125,245,109,364,428,98,210,164,109,82,125,242,205,266,122,sample_118
125,239,109,372,424,104,215,172,106,78,125,236,209,264,124,sample_119
129,245,105,364,424,104,210,164,109,80,129,245,213,264,124,sample_120
125,239,105,372,426,104,215,172,100,78,125,233,205,261,124,sample_121
127,242,109,364,428,104,210,159,109,80,129,242,213,262,122,sample_122
123,239,105,372,428,104,215,164,97,80,127,239,205,262,124,sample_123
127,242,101,372,428,107,210,164,100,80,129,239,213,272,122,sample_124
127,233,105,368,424,107,210,164,106,82,125,245,213,266,122,sample_125
129,239,101,366,428,104,210,164,106,82,127,242,213,266,122,sample_126
119,236,105,364,422,98,215,172,106,84,121,236,205,264,124,sample_127
123,239,109,372,426,104,215,172,106,78,125,239,209,262,124,sample_128
125,239,113,366,428,107,215,168,106,86,127,236,205,270,122,sample_129
121,233,105,370,428,110,215,159,106,86,123,239,213,264,124,sample_130
123,239,101,370,428,107,210,168,106,84,121,239,201,261,124,sample_131
119,239,105,370,426,104,210,172,97,80,123,242,205,264,122,sample_132
129,242,109,364,426,107,215,168,109,84,125,245,213,268,122,sample_133
125,236,101,364,426,107,210,172,100,84,125,236,205,264,124,sample_134
125,239,109,372,426,104,210,176,106,80,127,239,205,262,122,sample_135
125,239,113,370,426,101,215,172,97,82,125,239,209,264,124,sample_136
127,233,109,370,426,101,215,168,100,78,125,245,209,261,124,sample_137
127,236,105,366,428,104,210,164,106,80,127,233,209,266,122,sample_138
129,239,109,368,428,104,215,164,100,82,129,239,205,264,124,sample_139
129,233,105,368,428,101,215,164,109,82,127,236,213,270,124,sample_140
123,239,109,370,422,104,215,168,97,78,125,239,213,261,124,sample_141
119,233,113,362,424,107,210,172,106,86,121,233,205,266,122,sample_142
119,242,105,362,426,107,210,172,97,86,127,236,205,266,122,sample_143
129,239,109,368,428,104,210,172,100,80,129,239,209,264,124,sample_144
121,233,105,366,422,107,210,159,109,84,119,233,209,266,124,sample_145
129,239,101,372,428,107,210,164,106,82,125,236,209,272,122,sample_146
129,242,101,364,426,107,210,164,109,82,127,239,213,270,122,sample_147
121,233,113,364,428,107,210,159,106,86,119,236,205,262,124,sample_148
127,242,109,370,428,107,215,172,100,80,125,242,209,261,124,sample_149
119,233,105,364,426,104,215,176,103,84,123,236,201,264,124,sample_150
125,233,109,370,426,104,215,164,100,80,125,239,209,261,124,sample_151
125,233,109,372,428,101,215,168,100,78,125,239,213,261,124,sample_152
123,233,113,370,426,104,210,172,100,86,123,239,205,264,124,sample_153
119,236,109,370,426,104,210,164,106,86,125,236,201,264,122,sample_154
123,236,105,364,424,107,210,164,103,86,123,239,205,264,124,sample_155
125,239,105,368,426,101,215,176,103,80,127,239,209,262,124,sample_156
127,242,105,364,428,104,210,159,106,82,127,242,213,272,124,sample_157
127,239,109,372,426,107,210,164,103,78,125,239,209,261,124,sample_158
119,239,105,364,426,107,210,172,106,82,125,242,201,261,122,sample_159
125,245,109,364,428,104,210,164,106,84,127,242,213,272,122,sample_160
129,242,109,372,424,101,215,172,100,78,127,239,213,264,124,sample_161
129,245,101,364,428,107,210,164,109,82,127,245,213,270,122,sample_162
121,233,105,368,424,107,210,172,106,80,125,236,201,261,124,sample_163
125,239,109,372,426,101,215,168,97,78,129,239,205,261,124,sample_164
119,239,113,364,426,107,210,168,97,84,125,236,205,270,124,sample_165
121,242,109,361,426,107,215,172,106,80,121,236,213,261,124,sample_166
127,239,105,366,424,104,215,164,103,82,127,242,213,268,124,sample_167
127,239,101,370,428,98,210,164,109,82,129,242,209,272,122,sample_168
125,245,101,362,428,104,210,159,109,82,127,245,213,272,122,sample_169
129,239,109,370,426,101,215,164,97,80,125,239,213,261,124,sample_170
123,239,113,364,422,110,210,172,112,82,121,239,205,264,124,sample_171
127,239,105,366,426,110,210,172,109,82,127,242,205,272,122,sample_172
121,242,113,364,422,107,210,176,112,82,125,236,205,264,124,sample_173
119,239,109,370,428,107,210,172,106,84,123,239,213,262,124,sample_174
123,239,109,361,424,101,210,172,106,84,121,239,209,264,122,sample_175
119,233,109,364,428,104,215,176,106,86,121,239,205,266,124,sample_176
125,236,105,368,424,107,215,168,103,80,125,245,213,261,124,sample_177
123,236,101,361,428,107,210,172,106,86,121,242,205,264,122,sample_178
123,239,105,372,428,101,215,172,106,78,129,239,209,262,122,sample_179
125,239,105,368,424,104,215,172,97,82,125,239,209,261,124,sample_180
119,233,105,364,428,104,210,159,106,82,125,236,205,264,124,sample_181
125,239,109,372,426,104,215,168,106,80,129,239,209,264,124,sample_182
125,233,109,372,428,101,215,172,100,80,129,239,205,261,124,sample_183
127,242,105,364,426,101,215,159,112,82,125,245,213,272,122,sample_184
123,239,109,370,424,107,215,168,103,78,127,245,209,261,122,sample_185
123,236,105,364,426,107,215,172,103,86,121,239,209,264,124,sample_186
125,242,101,364,424,104,210,164,112,82,129,236,209,272,122,sample_187
129,239,109,372,424,101,215,172,97,80,127,239,205,264,124,sample_188
125,239,113,368,424,104,215,159,112,82,123,236,209,262,124,sample_189
123,236,109,362,422,107,215,164,106,82,123,236,205,264,124,sample_190
121,233,105,364,424,104,210,172,106,86,125,233,213,266,124,sample_191
127,233,105,372,422,101,215,172,97,80,129,239,205,262,122,sample_192
129,236,105,368,428,104,215,164,109,84,127,242,209,272,122,sample_193
123,239,105,364,422,107,210,168,106,86,125,239,205,270,124,sample_194
127,245,109,362,428,104,210,164,109,84,127,245,209,270,122,sample_195
123,239,109,370,426,104,215,168,97,78,125,233,209,261,124,sample_196
127,239,105,372,428,104,215,172,106,80,123,239,213,261,122,sample_197
125,236,105,362,424,101,210,172,97,84,129,242,205,262,124,sample_198
121,239,105,362,424,98,210,172,112,80,121,242,205,262,122,sample_199
125,239,105,372,424,107,215,168,100,78,125,239,205,261,124,sample_200
125,242,105,372,426,98,210,164,109,82,127,233,213,272,122,sample_201
125,239,109,372,428,101,215,168,103,80,123,239,205,262,124,sample_202
127,242,113,368,426,104,210,172,106,86,123,236,213,264,124,sample_203
119,236,105,370,424,98,215,172,106,86,121,239,205,266,124,sample_204
121,236,105,366,422,107,210,159,106,84,125,242,205,264,122,sample_205
129,239,105,370,426,101,215,168,100,78,123,239,209,264,124,sample_206
125,242,105,364,428,110,210,164,106,82,127,233,213,272,122,sample_207
119,242,105,364,428,107,210,172,97,80,125,239,205,264,124,sample_208
129,239,109,370,426,101,215,164,97,78,125,239,209,262,122,sample_209
125,239,109,370,426,107,215,159,103,82,127,239,205,262,124,sample_210
129,245,105,370,424,107,215,164,103,80,125,242,213,262,124,sample_211
127,245,105,372,426,101,210,172,100,80,129,239,205,262,124,sample_212
125,239,109,372,426,101,215,168,97,78,127,242,213,262,122,sample_213
127,242,105,366,428,104,210,164,109,82,127,242,213,272,122,sample_214
121,239,105,370,428,104,210,159,106,78,125,239,205,261,124,sample_215
127,242,109,370,426,101,215,164,100,82,125,245,209,262,122,sample_216
127,245,109,372,428,104,210,164,109,82,129,233,205,266,122,sample_217
127,245,101,364,428,104,210,164,109,80,127,245,213,272,122,sample_218
127,233,105,364,422,107,210,172,100,86,125,233,205,264,122,sample_219
127,245,105,364,428,98,210,168,109,80,125,245,213,272,122,sample_220
125,236,105,372,428,101,215,172,100,82,123,245,209,262,124,sample_221
119,236,109,364,428,107,215,164,112,84,125,236,205,264,124,sample_222
123,236,113,361,422,107,210,176,106,84,129,233,205,264,124,sample_223
119,239,105,370,424,104,215,172,106,84,123,233,209,264,124,sample_224
127,245,101,372,424,104,215,168,112,82,129,236,209,270,124,sample_225
121,239,105,372,422,101,215,168,100,78,129,239,213,264,124,sample_226
119,236,113,362,428,107,210,172,109,86,125,236,205,264,122,sample_227
125,245,109,366,428,104,210,164,106,82,129,242,213,272,122,sample_228
119,242,105,366,428,107,210,176,109,86,125,236,213,262,122,sample_229
125,236,109,364,424,98,215,164,109,82,129,242,213,272,122,sample_230
121,236,105,370,422,107,210,176,109,86,127,236,209,268,122,sample_231
123,236,105,362,424,107,210,168,109,84,121,236,205,264,124,sample_232
125,245,101,372,428,107,210,164,112,80,127,245,209,268,122,sample_233
127,242,101,370,428,107,210,164,109,82,127,242,209,272,122,sample_234
127,242,101,372,426,104,215,164,106,82,127,245,213,268,122,sample_235
119,233,105,368,426,107,215,172,100,86,129,236,205,264,122,sample_236
121,233,109,362,422,107,210,172,112,84,123,239,201,262,124,sample_237
129,239,105,372,428,101,215,164,103,78,123,239,213,261,124,sample_238
123,239,109,364,428,101,210,172,106,84,125,236,213,266,124,sample_239
123,233,113,364,422,104,210,176,112,86,129,236,209,264,122,sample_240
127,245,109,372,426,101,215,164,106,78,125,233,209,264,124,sample_241
127,245,105,370,428,104,210,168,109,82,129,242,213,270,122,sample_242
125,236,101,366,424,104,210,159,97,82,129,245,205,264,122,sample_243
125,239,109,370,426,101,215,159,97,82,127,239,209,262,124,sample_244
129,239,105,372,428,98,215,164,106,80,127,242,205,264,124,sample_245
123,233,109,364,422,104,210,172,106,86,121,233,205,268,122,sample_246
125,239,109,372,428,101,215,168,97,80,129,239,209,261,124,sample_247
127,245,105,372,426,110,210,164,109,82,127,242,205,272,124,sample_248
125,239,113,368,426,101,215,168,100,78,129,239,209,262,124,sample_249
119,236,113,364,428,104,215,172,103,86,125,236,213,264,124,sample_250
119,239,109,362,428,107,210,176,112,80,123,239,205,261,124,sample_251
121,236,101,364,426,107,210,172,106,82,121,236,205,262,124,sample_252
121,239,109,372,428,101,215,168,97,80,125,245,209,262,124,sample_253
127,242,105,364,426,110,210,164,109,84,127,236,209,268,122,sample_254
127,236,105,364,428,107,210,172,109,82,125,242,213,266,124,sample_255
121,242,113,364,424,107,210,172,109,84,125,233,205,268,124,sample_256
125,239,109,372,428,101,215,159,100,78,125,239,209,261,124,sample_257
129,242,109,364,428,104,210,164,109,84,127,233,213,272,124,sample_258
127,245,105,364,426,104,210,168,109,80,127,245,213,272,122,sample_259
125,233,105,368,424,104,215,172,106,86,119,239,205,261,124,sample_260
129,239,105,364,428,107,210,164,106,82,129,245,209,264,122,sample_261
127,245,105,372,428,107,210,164,103,84,125,236,213,272,122,sample_262
125,239,105,372,428,101,210,168,106,82,129,239,213,264,124,sample_263
125,236,101,366,426,107,210,164,106,82,125,233,213,268,122,sample_264
119,239,109,366,422,107,210,172,106,86,121,239,205,264,122,sample_265
119,239,105,364,426,107,215,172,109,86,125,239,205,261,124,sample_266
125,242,101,364,426,104,210,164,103,82,125,245,209,266,124,sample_267
129,239,113,370,426,98,215,168,100,78,127,236,205,261,124,sample_268
121,242,105,362,426,104,210,176,112,86,119,236,213,264,122,sample_269
127,245,101,368,428,107,210,164,112,80,125,245,213,264,122,sample_270
125,245,109,364,428,98,210,164,97,82,127,245,213,270,122,sample_271
123,239,101,364,422,101,215,164,106,86,121,236,209,262,122,sample_272
123,236,105,362,428,104,215,172,106,86,125,236,205,261,124,sample_273
123,239,109,370,424,101,210,176,106,80,125,245,205,261,124,sample_274
129,242,105,372,428,104,210,168,112,82,129,245,213,262,122,sample_275
129,245,109,368,428,104,215,164,97,82,127,236,213,266,122,sample_276
125,239,105,372,428,104,215,172,100,80,125,236,209,261,124,sample_277
125,239,113,370,428,101,215,168,97,80,127,239,209,261,124,sample_278
125,245,105,364,428,104,210,159,106,82,127,245,209,264,122,sample_279
127,233,113,370,424,98,215,172,103,78,125,239,209,262,124,sample_280
129,239,105,372,428,101,215,172,100,80,125,239,209,264,122,sample_281
123,236,109,364,428,110,210,172,106,86,123,236,205,261,124,sample_282
127,233,105,368,426,101,215,172,106,80,127,242,209,261,124,sample_283
127,239,105,364,428,107,210,168,109,82,129,233,213,272,124,sample_284
127,236,113,370,426,101,215,164,103,78,127,239,213,261,124,sample_285
129,233,105,368,428,107,215,164,103,82,129,242,209,270,122,sample_286
125,242,105,368,428,104,210,159,109,82,127,233,213,266,122,sample_287
121,236,105,364,428,107,210,164,97,80,125,233,213,264,124,sample_288
121,236,105,368,426,107,215,172,106,86,123,236,209,266,124,sample_289
129,242,105,364,428,98,210,164,106,82,127,245,213,268,122,sample_290
125,239,105,370,428,98,215,164,103,78,125,239,205,264,124,sample_291
129,245,101,364,428,110,210,159,112,80,129,245,213,272,122,sample_292
129,245,109,366,428,104,210,164,106,82,129,242,209,264,124,sample_293
125,239,105,364,428,104,210,164,112,82,129,245,213,272,122,sample_294
125,233,105,372,424,101,210,172,97,78,125,242,205,261,124,sample_295
129,239,105,364,422,98,215,172,103,82,119,242,213,264,124,sample_296
121,239,109,364,426,104,215,172,103,86,125,239,205,262,122,sample_297
127,239,105,372,426,101,210,176,106,82,127,239,213,261,122,sample_298
127,242,105,372,428,107,215,172,109,82,125,242,209,272,122,sample_299
125,239,105,368,428,104,215,164,100,78,123,239,209,261,124,sample_300
123,236,105,364,426,104,210,172,106,86,125,233,209,264,122,sample_301
123,242,109,364,426,107,210,168,106,86,121,233,213,266,122,sample_302
125,239,109,370,426,104,215,168,97,80,125,239,205,261,122,sample_303
125,242,101,364,428,104,210,164,112,82,125,239,209,272,122,sample_304
129,236,109,364,426,104,215,164,106,80,123,236,213,264,122,sample_305
125,239,109,372,426,104,215,172,100,78,125,239,205,264,124,sample_306
123,233,109,372,426,104,215,168,106,80,127,233,209,264,124,sample_307
125,245,105,372,424,107,210,164,106,82,127,239,209,270,122,sample_308
121,236,113,368,424,98,210,159,109,86,121,239,205,262,124,sample_309
123,236,109,368,422,104,210,164,106,80,125,239,205,268,124,sample_310
129,239,113,370,424,101,210,168,100,82,127,242,213,264,124,sample_311
127,245,101,370,428,104,215,164,112,82,127,245,209,268,124,sample_312
127,245,109,362,426,107,210,159,109,82,125,236,209,272,122,sample_313
119,239,105,362,424,107,210,168,106,86,121,233,205,262,124,sample_314
123,239,105,370,426,104,215,168,103,78,129,239,213,262,124,sample_315
125,242,105,372,428,101,210,164,112,82,129,245,209,264,124,sample_316
121,239,109,372,426,104,215,168,103,80,127,239,209,262,124,sample_317
125,245,101,364,428,107,210,172,112,82,127,245,213,272,122,sample_318
127,239,105,372,422,101,210,172,100,80,127,233,205,264,124,sample_319
127,245,105,364,424,104,210,172,109,80,125,242,213,268,122,sample_320
123,239,109,366,422,101,210,172,100,80,121,236,201,266,122,sample_321
127,236,109,372,426,104,215,164,103,80,129,239,205,261,124,sample_322
123,236,105,364,428,104,210,172,100,82,123,233,213,261,122,sample_323
125,236,101,370,428,104,210,168,97,82,125,236,205,261,122,sample_324
129,233,105,364,426,104,210,172,106,82,127,242,213,268,122,sample_325
125,242,105,364,426,104,210,172,106,82,121,233,201,264,124,sample_326
125,239,109,370,422,101,215,164,97,78,125,239,213,262,124,sample_327
125,242,105,362,428,104,210,164,100,82,129,236,213,272,122,sample_328
129,236,101,372,424,107,215,172,106,82,129,236,213,266,122,sample_329
119,239,105,364,428,107,215,176,112,82,125,239,205,264,122,sample_330
125,239,109,368,426,107,215,168,97,82,125,239,209,261,124,sample_331
127,242,101,370,428,110,210,172,109,82,125,242,213,272,124,sample_332
129,245,101,370,426,107,210,168,109,82,127,245,213,272,122,sample_333
123,236,113,364,428,104,210,172,97,86,125,239,205,266,124,sample_334
123,239,105,364,428,104,215,172,106,84,121,236,205,264,122,sample_335
121,236,105,364,428,104,210,164,109,86,123,239,201,264,124,sample_336
125,236,113,364,426,104,210,172,106,82,125,236,213,268,124,sample_337
127,242,101,366,428,98,215,164,109,82,127,245,209,268,122,sample_338
125,242,105,366,428,98,210,164,109,82,129,242,213,264,122,sample_339
125,245,109,368,428,104,210,164,112,82,129,245,213,272,122,sample_340
129,245,109,372,426,104,215,168,97,78,125,239,209,264,124,sample_341
125,239,109,370,422,98,215,168,100,78,125,239,205,261,124,sample_342
125,242,101,364,428,107,210,164,106,82,127,242,213,268,122,sample_343
125,239,105,368,426,104,215,168,103,80,125,239,209,261,124,sample_344
123,239,109,370,424,98,215,176,100,78,127,239,213,262,124,sample_345
119,236,105,366,426,110,210,164,112,86,123,236,205,264,124,sample_346
119,233,113,364,424,98,215,172,106,86,125,242,205,264,122,sample_347
127,239,113,370,426,107,215,168,100,82,123,239,205,262,122,sample_348
123,242,105,364,428,110,210,164,106,86,125,239,205,261,122,sample_349
125,233,105,368,422,101,215,172,103,80,125,236,205,264,124,sample_350
127,239,105,370,422,98,210,164,100,78,127,236,213,262,122,sample_351
121,236,105,370,428,98,215,168,103,78,127,239,209,264,124,sample_352
129,236,101,370,426,107,215,164,100,80,125,239,213,264,122,sample_353
127,239,101,372,428,107,215,168,106,84,127,242,213,270,122,sample_354
129,239,105,372,422,98,210,172,97,80,125,239,205,264,124,sample_355
119,236,105,364,428,110,210,176,103,86,125,239,205,261,124,sample_356
119,239,113,364,426,107,215,172,112,82,121,242,205,264,124,sample_357
129,239,105,364,428,104,210,159,109,82,125,239,209,272,122,sample_358
119,239,101,361,426,107,210,172,106,84,123,236,201,268,124,sample_359
119,242,105,364,424,98,210,168,106,82,125,239,213,270,122,sample_360
127,245,109,372,424,101,215,172,106,78,127,239,205,261,122,sample_361
125,236,101,366,428,107,210,159,97,82,129,236,205,272,122,sample_362
127,245,101,364,426,110,210,164,100,82,125,242,213,268,122,sample_363
127,245,105,364,428,98,210,164,109,84,129,245,209,270,122,sample_364
127,242,109,368,426,98,210,164,106,82,125,245,209,270,122,sample_365
125,239,105,364,428,104,215,172,106,82,121,239,205,264,122,sample_366
127,239,113,370,424,101,215,172,100,78,125,233,205,264,124,sample_367
127,236,113,364,426,107,215,176,109,86,125,242,205,264,124,sample_368
129,236,109,370,424,101,215,172,100,80,127,239,209,262,124,sample_369
129,245,105,370,428,110,210,168,109,82,127,239,209,270,122,sample_370
121,239,113,364,428,104,215,172,106,82,125,242,205,262,124,sample_371
125,245,101,364,426,107,210,164,109,80,129,245,213,272,122,sample_372
119,239,109,364,424,107,210,164,106,86,121,236,213,262,124,sample_373
127,239,105,370,424,101,215,164,97,80,127,239,205,262,124,sample_374
125,236,109,372,422,104,215,172,97,80,127,242,209,261,124,sample_375
129,239,105,370,424,104,215,172,100,78,127,233,213,262,122,sample_376
125,236,109,370,428,104,215,168,100,80,129,239,209,262,124,sample_377
129,233,101,370,428,110,215,172,109,84,129,245,213,272,122,sample_378
125,239,109,370,428,101,215,172,97,78,123,233,205,262,122,sample_379
119,233,105,362,428,110,210,176,103,84,123,236,213,264,122,sample_380
123,239,105,364,424,98,215,172,97,86,121,233,205,261,124,sample_381
121,233,105,362,424,107,210,176,106,80,127,239,201,264,124,sample_382
125,236,105,370,424,104,215,159,103,86,125,236,205,266,124,sample_383
125,239,105,372,426,101,215,164,106,80,129,239,209,261,124,sample_384
127,245,101,364,428,104,210,164,97,80,129,236,213,272,122,sample_385
127,239,109,372,428,101,215,172,100,78,129,236,205,262,124,sample_386
123,239,105,370,428,98,215,172,97,82,125,239,209,264,124,sample_387
127,245,101,370,428,101,210,172,106,82,125,242,205,264,124,sample_388
127,239,105,370,426,101,215,164,100,80,125,239,205,261,124,sample_389
127,242,109,368,428,101,215,164,97,80,125,245,213,262,124,sample_390
121,233,109,368,428,101,215,172,100,80,127,242,205,261,124,sample_391
123,236,105,361,426,107,210,159,106,82,121,239,205,270,122,sample_392
125,236,105,364,428,104,215,164,100,82,127,245,213,268,122,sample_393
121,239,105,362,426,101,210,168,106,86,121,239,205,262,124,sample_394
129,242,109,372,424,101,215,172,97,82,125,242,209,261,124,sample_395
